RT @RahulGandhi: अपने बेटों को नफरत और सम्प्रदायिकता के कारण खोने के बाद यशपाल सक्सेना और इमाम रशीदी के संदेश ये दिखाते हैं कि हिन्दुस्तान…
"NHAI awarded 150 projects of 7,400 km worth Rs 1,220 bn in FY 2017-18
https://t.co/st8jZl0RHG via NMApp https://t.co/WoKfHnVPEs"
RT @siddaramaiah: The BJP President has started believing he is a Chanakya &amp; thinks his ‘Dalit outreach’ will change things for his party.…
"RT @IndiaToday: Watch the sharp &amp; scathing exchanges between actor @prakashraaj, Congress leader @khushsundar, MoS @SuPriyoBabul and BJP sp…"
RT @iKaattupaya: Spineless ADMK govt! Heartless BJP Govt!#IndiaBetraysTamilnadu
"RT @NakulTewatia1: @narendramodi Shame on bjp
#lathicharge on students... #SSCExamsScam"
RT @HasibaAmin: Why was the norm or 3 paper sets done away by the BJP? Agenda kya tha Bhai? #AbvpleaksCBSEPaper https://t.co/d6ivIKhpFj
RT @kpmaurya1: अनंतनाग और शोपियां में जारी है देश के बहादुर सैनिकों और आतंकियों बीच मुठभेड़ l सात आतंकियों को सेना के जवानों ने किया ढेर...…
@kanhaiyajnusu @pbhushan1 Gaddar to aap jaise hai humare tax k paise maja kr rhe Ho JNU me aur Bharat mata ki jay b… https://t.co/FTVaVRRz1q
"RT @AmitShah: On #UtkalaDibasa, I extend my warm greetings to our sisters and brothers of Odisha. May the land of Mahaprabhu Jagannath scal…"
"RT @trollabhakt: And here is the comparison of @republic's hashtags about Congress vs BJP

Left : Republic's hashtags about Congress
Right…"
RT @Punitspeaks: Does a #UTurnKejriwal deserves to be the Chief Minister of Delhi ?
"#HappyJumlaDivas
Plz spread this trend. 
#boycott 2019 election
Plz guys do this... 
Ek rashtrpati. Sala jhand aadm… https://t.co/JitNY5mbMW"
"RT @ShefVaidya: Anatomy of MSM reporting on communal riots.
1) If it is non-BJP state, and Hindus are victims, pretend it never happened.
2…"
RT @KnpManu: @RahulGandhi वो आप की निगाह में और हम @BJP4India और @RSSorg की विचारधारा को कम होने नही देगे @narendramodi @AmitShah @VIAmkt @…
"Inspired by PM Modi's cleanliness drive, Maharashtra parents name baby girl ‘Swachhta’
https://t.co/n2x2YJE8UB via… https://t.co/7sgqFBODsf"
RT @Amanproudbihari: Abdul after joining BJP 😂😂 https://t.co/eMTV4HSFIh
"RT @geetv79: Now that #ABVPleaksCBSEPaper 
We Can Be Sure that the 
➡ Accused Will Soon be Rewarded, 
As Students Suffer Misgovernance 

Th…"
"RT @ashutosh83B: What a story ? A lower caste can’t have a grand Bharat... look at the statements of Pradhan,BJP MLA, DM, not supporting Hi…"
"RT @004Raju: देखिये बीजेपी की गंदी राजनीति! 
LG के ज़रिए दिल्ली वालों को ""डोर स्टेप डिलीवरी"" का लाभ लेने से रोका, जबकि ख़ुद इस योजना की नकल…"
"RT @handle_anonymus: Apt description of rot in BJP/RSS. These peeps have stranglehold on legislative power, and they let such hit Jobs slid…"
"RT @nsui: The BJP led by PM Modi won the 2014 elections under the garb of false electoral promises. A reminder for them, ""You can fool all…"
